Title,Rating,Reviews
Worth the money,Sharing this review after 24 hrs of usage. The phone is a solid performer and is extremely handy.The battery is decent may be requires optimization considering 5000 mah it's not that great. Its a full day package.The display is awesome and the camera is average I'm not a big camera person so works for me.The performance of the device is satisfactory gets warm if u play bgmi but manageable.Overall happy with the purchase this is a decent phone for casual users.READ MORE,4
Super!,"It look very premium in this price range value for money phone , design is very premium and the performance is also bestREAD MORE",5
Perfect product!,Exllent phone worth it productREAD MORE,5
Classy product,Very nice worth every penny really love thisREAD MORE,5
Perfect product!,Top notch product 🥰 i love itBeautiful colour 💫😄Beautiful display p oled🥳And battery 🔋🥰 fully loaded phoneBut cover was desentREAD MORE,5
Simply awesome,Loved it 😀😀READ MORE,5
Wonderful,Very nice product. Looks Awesome. But there's no screen protector. company should have provided some screen protector also.READ MORE,4
Terrific,Superb mobile camera quality performance display fast charging selfi cameraREAD MORE,5
Terrific,Realistic Review..I must say what a performanceThere is everything in this range 5G+144 Hertz Refresh RatepOLED panelBest device I had ever.Fast ChargingREAD MORE,5
Mind-blowing purchase,"-Design: It has an impressive display and good design-Battery life: It has excellent battery life-Fast charging: It supports 68W Turbo Charge fast charging-Speakers: It has good speakers-Sustained performance: It has good sustained performance.-However, some say that the camera and performance could be improved. One review says that the 32MP selfie camera captures a lot of details, but the HDR quality could be better. Another review says that the phone has good sustained performance in a...READ MORE",5
Awesome,Mast❤️ happy 😊READ MORE,5
Pretty good,Overall performance is good but I have faced some issues while talking and one more thing I am concerned of  that  should I use glass protector on the display as I have got various opinion that keeping glass protector can damage curved displayREAD MORE,4
Mind-blowing purchase,One of the best phone in this price segment 😍😍😍😍😍 display and design just osm ..... Camera over all performance.... Great in hand feeling...... Value for money 💰 thanks to Motorola for this superb handset...... And the most important thing is IP68READ MORE,5
Just wow!,All is well super performance good cameras stylish design lightweight mobile looking so beautiful.READ MORE,5
Very Good,Overall the device is very good but battery fast drain.Please think about it... MotorolaREAD MORE,4
Best in the market!,This product is awesome at this price point. But Some optimisation is needed.READ MORE,5
Fabulous!,Camera quality best picture 🖼️READ MORE,5
Excellent,Good disene this phoneREAD MORE,5
Super!,I reviewed this phone after using it 4 days so the design and the colours of the phones are great specially the display is the best in this segment literally didn't feel like a 20k phone display colours are very accurate and contrasting the cameras are but the HDR is inconsistent sometimes didn't control the harsh sunlight but overall a great camera night photography is just awesome the vedio stabilisation is good in this price point OIS works good The battery 🔋 is okish like it drains if u...READ MORE,5
Great product,So sweet mobile phone under 21k Nice picCamera so goodREAD MORE,5
Great product,So sweet mobile phone under 21k Nice picCamera so goodREAD MORE,5
Worth every penny,Most Affordable/Budget Price Mobile.READ MORE,5
Must buy!,Camera- camera is good in selfie sometimes image processing makes it bit soft but I can be fixed in next update main camera is very good portraits are amazing and if u're into cinematography like me it's the best camera phone in this budget Design - premium looking phone light weight and curve display is cherry on cake Display - overall smooth experience till now haven't faced any jitter or lag not a gamer so can't tell gaming experience but for normal use or watching movies you'd love it ...READ MORE,5
Terrific,Display 5*Battery 5*Sound 5*Build 5*Camera 4*READ MORE,5
Terrific,Looks and feels good. Camera is nice is this price segment. Happy with this purchase.READ MORE,5
Excellent,Display - 5Performance - 4Battery - 5Charger -5Build Quality - 5Back Cover -5Camera - 3.5Must Buy productREAD MORE,5
Mind-blowing purchase,I love thisREAD MORE,5
Simply awesome,"Motorola has nailed it with the Edge 40 Neo. It is a great smartphone for anyone who is looking for a well-rounded device that offers good value for money. It is particularly well-suited for users who are looking for a phone with a great display, long battery life, and a good camera system.READ MORE",5
Terrific,Best phone from moto and offcourse it's camera is awesome 👍READ MORE,5
Brilliant,All rounderREAD MORE,5
Terrific,Best phone from moto and offcourse it's camera is awesome 👍READ MORE,5
Brilliant,All rounderREAD MORE,5
Mind-blowing purchase,"Phone is great 👍Display, performance nd design is fantastic 😍Front camera has need Lil bit improvement nd heating issue too in even normal uses....READ MORE",5
Nice,Nice ☺️READ MORE,3
Simply awesome,Awesome... Loved itOnly issue is heating and battery drain very fastTook 1 hr 20 mnts for 0 to full chargeAttaching photo of full light and dark modeREAD MORE,5
Slightly disappointed,Power off button problem .. Continuously switch off and on...waste of moneyREAD MORE,2
Brilliant,"I am a user of Moto since last 15 years and this time I am most satisfied after Moto X4 coz of the style and smooth functioning of the device. Believe me friends, almost everyone in my circle has praised this phone. Before buying the phone I was a bit worried about camera quality but it is not at all bad (see the attachments). So, no worries about it. Yes, battery drains faster but thanks to the 68W charger which charges the device in a blink of an eye. Overall, I give 8/10 stars.READ MORE",5
Horrible,Dual sim not supported in my mobile please help meREAD MORE,1
Good choice,Great phone performance and looks. Camera quality is decent.under 23kREAD MORE,4
Worth the money,Best Phone .READ MORE,4
